Date,Symbol,Adj Close,Close,High,Low,Open,Volume
4/30/2019,FFIV,156.8999939,156.8999939,158.9100037,156.4299927,158.8000031,504800
5/1/2019,FFIV,152.2599945,152.2599945,157,152.1999969,157,835700
5/2/2019,FFIV,152.3200073,152.3200073,154.4499969,150.3699951,151.5800018,557800
5/3/2019,FFIV,154.3699951,154.3699951,155.1699982,152.1999969,152.7400055,585900
5/6/2019,FFIV,152.9299927,152.9299927,153.2899933,150.2899933,151,521400
5/7/2019,FFIV,151.6699982,151.6699982,152.2799988,150.0099945,150.9100037,604200
5/8/2019,FFIV,149.6199951,149.6199951,151.9199982,149.3500061,151,516500
5/9/2019,FFIV,146.8300018,146.8300018,148.4100037,145.4400024,147.9499969,497700
5/10/2019,FFIV,148.5700073,148.5700073,148.7700043,143.5200043,146.1799927,675200
5/13/2019,FFIV,143.4499969,143.4499969,145.8899994,141.0500031,144.7799988,842500
5/14/2019,FFIV,141.9700012,141.9700012,143.9600067,141.9100037,143.6100006,634300
5/15/2019,FFIV,142.9900055,142.9900055,143.2100067,140.6300049,141.2299957,465200
5/16/2019,FFIV,142.6100006,142.6100006,144.6199951,142.4400024,143.1999969,581400
5/17/2019,FFIV,140.2200012,140.2200012,142.4400024,139.8500061,141.0099945,690700
5/20/2019,FFIV,139.5200043,139.5200043,139.75,138.0299988,138.9100037,786900
5/21/2019,FFIV,141.3800049,141.3800049,142.2700043,140.6100006,140.6100006,740900
5/22/2019,FFIV,140.3099976,140.3099976,141.75,140.1900024,141.5800018,492400
5/23/2019,FFIV,137.3999939,137.3999939,139.2599945,136.6499939,138.9700012,1080800
5/24/2019,FFIV,136.9400024,136.9400024,139.0899963,135.7899933,138.2599945,644700
5/28/2019,FFIV,136.6399994,136.6399994,138.7100067,135.7200012,137.8500061,1217900
5/29/2019,FFIV,137.4299927,137.4299927,137.7599945,135.0399933,136.1600037,582400
5/30/2019,FFIV,136.0299988,136.0299988,138.4299927,135.8500061,137.6399994,608800
5/31/2019,FFIV,132.0800018,132.0800018,134.9199982,131.5299988,134.9199982,697300
6/3/2019,FFIV,134.3500061,134.3500061,134.8300018,132.1300049,132.1300049,877100
6/4/2019,FFIV,136.7299957,136.7299957,137.3500061,135.0500031,136,835200
6/5/2019,FFIV,138.0500031,138.0500031,138.2799988,136.4700012,138.2299957,669200
6/6/2019,FFIV,138.6300049,138.6300049,139.7100067,136.9100037,137.8600006,567000
6/7/2019,FFIV,140.4299927,140.4299927,141.4100037,138.9700012,139.4199982,595800
6/10/2019,FFIV,142.6100006,142.6100006,143.1999969,141.6000061,141.75,446400
6/11/2019,FFIV,141.9700012,141.9700012,145.1699982,141.7400055,143.4700012,505500
6/12/2019,FFIV,142.7400055,142.7400055,143.0899963,141.7599945,142.1399994,439300
6/13/2019,FFIV,145.1300049,145.1300049,145.1999969,142.8399963,143.5299988,662100
6/14/2019,FFIV,136.9299927,136.9299927,142.3300018,135.1300049,140.4499969,1187500
6/17/2019,FFIV,138.8099976,138.8099976,139.6999969,135.6699982,136.9400024,860400
6/18/2019,FFIV,141.0099945,141.0099945,144.2599945,139.9299927,140.3200073,573900
6/19/2019,FFIV,141.4400024,141.4400024,142.0099945,140.3000031,141.9900055,554100
6/20/2019,FFIV,142.2899933,142.2899933,142.9600067,140.7799988,142.8899994,1032200
6/21/2019,FFIV,143.7299957,143.7299957,143.8600006,140.7799988,142.2100067,1869500
6/24/2019,FFIV,143.1600037,143.1600037,144.8600006,142.6900024,144.0800018,752700
6/25/2019,FFIV,141.0200043,141.0200043,144.2599945,140.8399963,143.3600006,474400
6/26/2019,FFIV,142.6300049,142.6300049,143.5899963,141.8399963,142.3000031,480300
6/27/2019,FFIV,143.0500031,143.0500031,143.9299927,142.6100006,143.0399933,406000
6/28/2019,FFIV,145.6300049,145.6300049,146.0899963,143.6399994,144.0399933,1135100
7/1/2019,FFIV,148.1199951,148.1199951,148.8899994,146.2799988,147.8800049,522400
7/2/2019,FFIV,146.3800049,146.3800049,148.4400024,144.6799927,148.1399994,541100
7/3/2019,FFIV,147.8000031,147.8000031,149.3200073,146.8500061,147.1499939,525300
7/5/2019,FFIV,147.6600037,147.6600037,147.9499969,146.1100006,147.0200043,402100
7/8/2019,FFIV,142.0099945,142.0099945,142.3000031,138.7799988,139.8300018,963500
7/9/2019,FFIV,142.6799927,142.6799927,142.7700043,140.4700012,141.1300049,871600
7/10/2019,FFIV,141.5700073,141.5700073,145.1900024,141.0500031,143.5700073,761500
7/11/2019,FFIV,142.7599945,142.7599945,143.8099976,141.0599976,141.7299957,772000
7/12/2019,FFIV,145.5599976,145.5599976,146.4400024,143.1799927,143.1799927,482100
7/15/2019,FFIV,146.0800018,146.0800018,147,144.5700073,146.5,406300
7/16/2019,FFIV,146.5200043,146.5200043,146.9799957,145.1999969,145.9700012,646100
7/17/2019,FFIV,144.9700012,144.9700012,147.6000061,144.8800049,147.0299988,533700
7/18/2019,FFIV,145.5899963,145.5899963,146.25,144.0500031,144.9499969,606800
7/19/2019,FFIV,147.9700012,147.9700012,149.0899963,146,146.8500061,623700
7/22/2019,FFIV,145.6199951,145.6199951,148,145.3500061,148,881300
7/23/2019,FFIV,147.6399994,147.6399994,148,145.1199951,147.0599976,507000
